"Id","Response"
1,1
3,7
4,6
9,6
12,7
13,7
21,6
28,7
30,6
36,7
38,7
43,6
45,3
48,7
50,4
51,7
54,6
55,6
59,7
62,3
63,7
66,7
69,7
82,7
83,6
84,5
86,6
89,7
90,5
92,8
98,6
100,2
105,4
115,7
119,2
124,2
127,7
133,8
140,5
141,7
143,3
151,3
154,7
157,7
163,6
166,2
168,7
170,5
173,7
180,6
182,6
184,3
185,6
195,6
196,5
197,4
212,4
213,7
219,8
225,3
227,4
232,3
239,5
247,3
251,4
254,5
261,6
264,6
267,7
272,6
275,7
277,3
283,7
284,1
287,6
291,7
293,5
294,4
305,6
307,5
309,7
311,4
322,2
323,3
326,5
330,2
335,7
337,6
338,3
341,1
346,6
348,6
352,3
356,7
358,3
366,6
369,3
373,6
375,3
381,5
384,7
386,5
396,6
397,2
399,6
405,7
412,7
417,3
421,6
425,7
427,7
430,4
432,5
433,7
436,7
438,6
441,7
442,5
444,3
446,6
448,7
450,6
454,6
465,7
470,3
472,4
475,7
484,7
495,7
497,7
498,7
501,3
502,6
505,7
515,2
516,5
527,6
529,3
531,7
533,5
537,2
541,7
546,7
548,6
549,7
550,6
553,6
559,7
561,3
564,1
574,5
578,6
579,5
580,7
582,6
584,7
588,6
596,4
602,3
603,3
613,7
614,1
619,6
620,6
624,4
625,6
628,4
630,6
635,7
636,6
637,7
641,7
644,7
648,7
654,6
658,3
664,8
666,6
667,6
670,8
672,6
674,7
676,6
684,6
685,4
693,1
694,7
700,1
702,5
703,6
705,6
711,6
718,3
722,6
726,3
727,3
732,8
735,6
740,2
748,6
750,6
751,8
756,6
762,6
766,7
770,6
771,3
779,5
782,3
784,6
793,6
798,4
800,5
801,7
805,6
807,1
813,7
819,6
820,6
822,6
823,6
833,7
834,4
842,3
845,7
856,4
860,4
864,2
869,7
872,7
877,5
878,6
893,5
894,7
896,5
899,3
900,6
911,1
914,6
917,1
919,6
923,1
925,6
926,3
934,6
938,6
940,3
955,6
956,6
971,6
973,7
978,7
979,8
981,7
988,6
990,6
992,3
996,6
997,5
999,5
1000,6
1006,6
1009,3
1018,6
1025,3
1038,6
1042,6
1045,6
1046,8
1047,6
1050,4
1052,7
1054,7
1057,6
1061,3
1069,3
1071,6
1073,6
1074,8
1075,3
1083,6
1084,2
1089,3
1099,4
1103,3
1110,8
1123,7
1130,6
1135,6
1137,7
1145,7
1147,4
1152,6
1153,3
1154,7
1158,7
1166,6
1170,6
1172,4
1178,5
1179,7
1181,1
1182,6
1183,7
1191,6
1192,2
1200,1
1205,6
1207,6
1208,1
1209,3
1217,3
1223,7
1225,8
1226,3
1228,3
1230,5
1232,6
1235,7
1237,6
1257,7
1266,3
1267,5
1274,6
1277,8
1278,5
1280,7
1282,6
1293,5
1294,3
1305,6
1306,6
1311,6
1318,4
1320,6
1323,7
1325,3
1328,5
1336,3
1340,6
1341,7
1344,6
1345,5
1348,3
1358,1
1361,7
1364,4
1373,7
1377,5
1378,7
1380,6
1382,6
1383,5
1386,7
1387,1
1390,4
1395,7
1398,5
1402,3
1403,8
1405,7
1407,7
1410,1
1412,4
1419,5
1426,6
1428,7
1436,6
1437,3
1438,3
1441,7
1444,3
1448,3
1454,4
1457,5
1459,7
1463,6
1467,2
1471,4
1475,5
1476,4
1480,6
1481,1
1482,4
1489,6
1491,6
1494,7
1496,7
1500,8
1501,7
1503,6
1504,3
1505,2
1515,3
1517,5
1520,4
1521,3
1523,7
1526,7
1529,5
1530,6
1543,5
1544,8
1547,6
1550,7
1552,6
1554,6
1563,6
1574,6
1575,3
1576,5
1579,3
1582,5
1584,7
1585,6
1589,6
1596,6
1598,2
1611,5
1613,2
1615,5
1618,3
1627,6
1630,1
1638,7
1639,6
1640,6
1642,6
1645,6
1648,6
1654,4
1661,6
1662,6
1663,7
1666,4
1668,2
1670,1
1672,4
1681,6
1682,7
1683,1
1687,7
1688,7
1693,7
1694,6
1700,7
1704,6
1712,7
1716,7
1717,5
1722,5
1724,5
1738,1
1739,1
1740,6
1761,7
1763,4
1765,7
1766,6
1767,7
1771,5
1772,7
1777,7
1784,3
1799,2
1806,6
1810,1
1812,6
1814,2
1818,6
1819,7
1822,4
1823,6
1824,3
1834,5
1835,7
1844,3
1848,3
1849,7
1850,6
1851,3
1856,3
1862,1
1863,6
1872,6
1874,5
1875,7
1877,3
1900,6
1902,6
1904,5
1905,2
1908,6
1914,7
1916,2
1922,4
1933,5
1934,5
1939,6
1942,5
1947,7
1957,7
1971,7
1973,2
1974,6
1977,6
1981,6
1985,7
1987,5
1989,7
2001,3
2002,1
2007,1
2008,7
2011,6
2021,6
2034,7
2040,6
2044,4
2045,7
2048,7
2051,7
2062,7
2066,2
2068,4
2069,3
2074,6
2075,6
2078,6
2079,1
2080,2
2081,4
2084,1
2085,6
2087,7
2096,5
2102,6
2103,3
2107,7
2117,5
2118,3
2120,6
2121,3
2122,3
2130,7
2136,3
2138,8
2140,6
2143,6
2144,6
2145,5
2147,6
2150,2
2154,7
2155,2
2166,4
2169,2
2173,5
2176,1
2178,6
2179,4
2180,6
2184,7
2185,7
2188,5
2190,6
2194,6
2195,6
2198,6
2205,7
2206,6
2207,1
2212,6
2213,7
2216,8
2218,2
2224,7
2225,5
2228,7
2236,6
2242,7
2246,6
2250,7
2255,6
2256,1
2267,4
2268,6
2269,5
2272,3
2275,2
2280,7
2282,7
2287,6
2289,7
2293,7
2296,7
2307,6
2309,6
2313,5
2325,5
2327,6
2336,3
2339,6
2342,7
2347,7
2350,3
2360,6
2364,7
2369,2
2379,2
2394,6
2395,5
2399,8
2402,6
2410,7
2416,6
2420,7
2427,5
2434,7
2435,6
2441,7
2447,6
2452,5
2463,6
2467,6
2468,7
2470,6
2476,6
2483,1
2487,3
2492,7
2502,7
2504,3
2510,7
2511,1
2512,7
2517,7
2520,8
2521,7
2523,6
2524,6
2525,6
2526,5
2528,7
2530,4
2532,3
2536,4
2540,6
2541,6
2543,6
2549,7
2550,1
2556,3
2557,6
2559,6
2565,8
2566,8
2567,1
2568,4
2570,7
2573,7
2577,6
2578,6
2583,2
2586,5
2587,3
2588,6
2591,7
2597,7
2606,6
2607,7
2608,7
2611,2
2612,6
2613,7
2616,7
2621,6
2622,6
2634,7
2639,6
2642,1
2644,6
2650,3
2655,7
2664,6
2667,6
2670,6
2679,1
2681,6
2683,7
2685,7
2687,7
2696,4
2699,6
2712,2
2716,6
2720,7
2725,6
2726,6
2731,6
2733,4
2740,7
2742,5
2748,4
2749,7
2763,6
2771,8
2772,4
2773,4
2783,7
2784,7
2789,1
2796,5
2798,4
2799,7
2800,6
2802,7
2805,4
2809,6
2816,7
2817,6
2821,7
2822,7
2829,6
2832,3
2842,5
2844,6
2846,5
2851,5
2852,4
2853,6
2856,6
2862,2
2866,5
2868,3
2886,8
2892,6
2893,3
2898,6
2917,5
2923,2
2927,6
2930,7
2931,2
2935,7
2936,4
2961,3
2964,6
2967,6
2968,7
2970,6
2977,3
2978,5
2979,7
2985,3
2986,1
2989,6
2997,3
2999,8
3004,4
3008,6
3010,3
3020,7
3022,7
3024,6
3027,7
3032,8
3033,7
3048,3
3053,6
3056,7
3070,7
3071,2
3073,6
3080,7
3098,7
3099,2
3109,6
3110,6
3115,1
3121,7
3128,6
3132,2
3133,1
3141,6
3144,5
3145,3
3154,6
3159,7
3164,2
3168,1
3172,3
3176,6
3186,6
3193,5
3196,6
3199,5
3200,6
3209,6
3210,6
3214,6
3229,6
3230,6
3233,7
3242,3
3244,2
3249,5
3251,2
3253,1
3264,5
3271,1
3272,7
3274,6
3276,2
3280,4
3282,4
3285,7
3297,6
3298,6
3307,4
3309,7
3310,7
3312,5
3314,7
3315,2
3316,6
3319,4
3322,7
3327,6
3332,3
3334,7
3336,1
3338,6
3340,4
3343,1
3352,6
3353,7
3356,7
3357,7
3360,6
3365,7
3366,7
3367,7
3369,7
3374,4
3376,6
3381,6
3385,4
3386,6
3397,7
3403,4
3409,4
3414,7
3415,6
3423,7
3427,6
3428,7
3439,4
3441,6
3442,2
3447,6
3453,6
3456,2
3458,5
3459,5
3462,6
3464,7
3477,7
3480,5
3483,6
3490,5
3497,7
3498,6
3500,4
3504,5
3509,1
3510,6
3511,6
3525,3
3528,6
3529,1
3531,3
3532,7
3536,7
3537,4
3538,6
3547,4
3557,6
3572,7
3573,6
3588,7
3590,6
3597,6
3601,5
3602,6
3608,7
3611,6
3616,6
3619,6
3623,3
3638,3
3641,3
3643,8
3647,3
3648,6
3662,4
3663,8
3665,5
3679,7
3683,6
3692,6
3700,6
3705,5
3706,7
3711,7
3712,6
3716,3
3725,3
3727,8
3739,6
3740,3
3743,5
3744,1
3750,7
3751,5
3752,1
3753,4
3754,2
3761,7
3762,6
3764,3
3773,7
3774,4
3775,7
3776,7
3785,5
3788,7
3791,5
3792,7
3794,3
3797,6
3798,7
3807,4
3808,7
3810,4
3813,6
3815,7
3818,6
3820,2
3824,7
3832,6
3836,8
3837,5
3849,6
